P1,P2,S1,S2,Fails,Close,Playoffs
TreXDer,Karmack,2,0,Karmack,Franco,TreXDer
Franco,Loosiano,2,0,Loosiano,Daquat,NickAzn
TreXDer,Franco,3,0,tetrachris,PnO_Mader,Pick
NickAzn,tetrachris,2,0,Blueye,Kwazi,Ricki
Daquat,Blueye,2,0,icedbriski,sodapants,swagdude
NickAzn,Daquat,3,1,Banda,GaviGuy,Neyei
Pick,icedbriski,2,0,Float,wolf,smb
PnO_Mader,Banda,2,0,metalman20,g4,Programmatic
Pick,PnO_Mader,3,1,Nemo,1,1
Ricki,Float,2,0,Baby_Jimbo,1,1
Kwazi,metalman20,2,0,Konomi,1,1
Ricki,Kwazi,3,0,Halflite,1,1
swagdude,Nemo,2,0,Abysmalcosmos,1,1
sodapants,Baby_Jimbo,2,0,snaphap,1,1
swagdude,sodapants,3,1,AngryScootsman,1,1
GaviGuy,Konomi,2,0,ballinbino,1,1
Neyei,Halflite,2,0,1,1,1
Neyei,GaviGuy,3,0,1,1,1
wolf,Abysmalcosmos,2,1,1,1,1
smb,snaphap,2,0,1,1,1
smb,wolf,3,0,1,1,1
wolf,snaphap,3,1,1,1,1
g4,AngryScootsman,2,0,1,1,1
Programmatic,Ballinbino,2,0,1,1,1
Programmatic,g4,3,2,1,1,1
TreXDer,Programmatic,3,1,1,1,1
Ricki,swagdude,3,0,1,1,1
NickAzn,wolf,3,1,1,1,1
Pick,Neyei,3,0,1,1,1
TreXDer,Ricki,4,2,1,1,1
Pick,NickAzn,4,3,1,1,1
TreXDer,Pick,5,0,1,1,1
Programmatic,swagdude,3,2,1,1,1
wolf,Neyei,3,1,1,1,1
Programmatic,NickAzn,3,0,1,1,1
Ricki,wolf,3,2,1,1,1
Ricki,Programmatic,4,0,1,1,1
Ricki,Pick,4,2,1,1,1
TreXDer,Ricki,5,4,1,1,1
