P1,P2,S1,S2,Fails,Close,Playoffs
NickAzn,andyfiredurf,2,0,andyfiredurf,Loosiano,NickAzn
Loosiano,TobyAkka4,2,0,TobyAkka4,Franco,TreXDer
NickAzn,Loosiano,3,1,sodapants,wolf,Ricki
TreXDer,sodapants,2,0,Krauvando,metalman20,Mapy
TreXDer,Franco,3,2,Gamer97,g4,PnO_Mader
Ricki,Gamer97,2,0,Daquat,swagdude,Pick
wolf,Daquat,2,0,Ozma_XD,Neyei,Programmatic
Ricki,wolf,3,2,Santeri,Dracautiste,smb
Mapy,Ozma_XD,2,0,Ballinbino,1,1
metalman20,Santeri,2,0,Edge,1,1
Mapy,metalman20,3,0,Abysmalcosmos,1,1
g4,Ballinbino,2,0,Blueye,1,1
PnO_Mader,Edge,2,0,Kwazi,1,1
PnO_Mader,g4,3,1,Halflite,1,1
swagdude,Abysmalcosmos,2,0,AngryScootsman,1,1
Pick,Blueye,2,0,Konomi,1,1
Pick,swagdude,3,0,1,1,1
Programmatic,Kwazi,2,0,1,1,1
Neyei,Halflite,2,0,1,1,1
Programmatic,Neyei,3,2,1,1,1
smb,AngryScootsman,2,0,1,1,1
Dracautiste,Konomi,2,1,1,1,1
NickAzn,smb,3,0,1,1,1
Mapy,PnO_Mader,3,0,1,1,1
TreXDer,Programmatic,3,1,1,1,1
Ricki,Pick,3,1,1,1,1
NickAzn,Mapy,4,2,1,1,1
TreXDer,Ricki,4,3,1,1,1
NickAzn,TreXDer,5,3,1,1,1
PnO_Mader,smb,3,0,1,1,1
Pick,Programmatic,3,1,1,1,1
Ricki,PnO_Mader,3,2,1,1,1
Mapy,Pick,3,1,1,1,1
Mapy,Ricki,3,0,1,1,1
Mapy,TreXDer,4,1,1,1,1
Mapy,NickAzn,5,0,1,1,1
Mapy,NickAzn,5,1,1,1,1
