P1,P2,S1,S2,Fails,Close,Playoffs
NickAzn,aznchibikid,2,0,aznchibikid,magnostherobot,NickAzn
magnostherobot,Yoco,2,1,Yoco,imfallinfree,TreXDer
NickAzn,magnostherobot,2,0,TobyAkka4,Pick,Programmatic
TreXDer,TobyAkka4,2,0,Loosiano,PnO_Mader,Mapy
imfallinfree,Loosiano,2,1,Penta,metalman20,Matt
TreXDer,imfallinfree,2,0,Edge,kaddalaug,Ricki
Programmatic,Penta,2,0,ebi,Banda,LtChaos720
Pick,Edge,2,0,g4,smb,StevenofAstora
Programmatic,Pick,2,1,Neppy5000,1,1
Mapy,ebi,2,0,Neyei,1,1
PnO_Mader,g4,2,0,Halflite,1,1
Mapy,PnO_Mader,2,0,Krauvando,1,1
metalman20,Neppy5000,2,0,Franco,1,1
Matt,Neyei,2,0,Baby_Jimbo,1,1
Matt,metalman20,2,0,Konomi,1,1
Ricki,Halflite,2,0,Swhynot,1,1
kaddalaug,Krauvando,2,0,1,1,1
Ricki,kaddalaug,2,0,1,1,1
LtChaos720,Franco,2,0,1,1,1
Banda,Baby_Jimbo,2,1,1,1,1
LtChaos720,Banda,2,0,1,1,1
smb,Konomi,2,0,1,1,1
StevenofAstora,Swhynot,2,0,1,1,1
StevenofAstora,smb,2,1,1,1,1
NickAzn,StevenofAstora,2,0,1,1,1
Mapy,Matt,2,1,1,1,1
LtChaos720,TreXDer,2,1,1,1,1
Programmatic,Ricki,2,1,1,1,1
Mapy,NickAzn,3,2,1,1,1
Programmatic,LtChaos720,3,1,1,1,1
Mapy,Programmatic,5,0,1,1,1
NickAzn,LtChaos720,4,0,1,1,1
