P1,P2,S1,S2,Fails,Close,Playoffs
TreXDer,Pnisj,2,0,Pnisj,ArenEternal,TreXDer
ArenEternal,theneobunny,2,0,theneobunny,LtChaos720,NickAzn
TreXDer,ArenEternal,3,0,Kevs_tracK,Frog King,Mapy
NickAzn,Kevs_tracK,2,0,Arzou,Santeri,hauntedfurret
LtChaos720,Arzou,2,0,Matt,AzureWolfy,Jammy Dodger
NickAzn,LtChaos720,3,1,LilithTheFox,Vlek,metalman20
Mapy,Matt,2,0,crohn44,Kali,Darnoc703
Frog King,LilithTheFox,2,0,Neyei,magnostherobot,eyelur
Mapy,Frog King,3,0,Yoco,1,1
Santeri,crohn44,2,0,Davi,1,1
hauntedfurret,Neyei,2,0,HighCaliberTree,1,1
hauntedfurret,Santeri,3,2,Stride,1,1
Jammy Dodger,Yoco,2,0,Goonlord,1,1
AzureWolfy,Davi,2,0,Banda,1,1
Jammy Dodger,AzureWolfy,3,1,Programmatic,1,1
metalman20,HighCaliberTree,2,0,chanicorn,1,1
Vlek,Stride,2,1,1,1,1
metalman20,Vlek,3,2,1,1,1
Kali,Goonlord,2,0,1,1,1
Darnoc703,Banda,2,0,1,1,1
Darnoc703,Kali,3,1,1,1,1
eyelur,Programmatic,2,0,1,1,1
magnostherobot,chanicorn,2,0,1,1,1
eyelur,magnostherobot,3,0,1,1,1
TreXDer,eyelur,3,0,1,1,1
Mapy,metalman20,3,0,1,1,1
NickAzn,Darnoc703,3,1,1,1,1
Jammy Dodger,hauntedfurret,3,1,1,1,1
Mapy,TreXDer,3,1,1,1,1
NickAzn,Jammy Dodger,3,1,1,1,1
TreXDer,Jammy Dodger,3,1,1,1,1
NickAzn,Mapy,5,3,1,1,1
